,caption,kluster
28,Waktunya Indonesia Belanja Spesial Ramadan di @tokopedia !Nikmati Discount up to 70% di Erigo Official💙💚,0
29,Happy Weekend!Sekarang Erigo Varsity terbaru udah rilis di @tokopedia Waktunya Indonesia Belanja Spesial Ramadan! 🥳,0
30,Gimana? udah pada checkout Varsity Jacket terbaru dari Erigo belum nih?🔥,0
31,Saksikan Waktu Indonesia Belanja TV SHOW Spesial Ramadan!! Pantengin terus karena bakalan ada Discount up to 70% dan promo menarik lainnya🥳Jangan lupa 23 April 2021 pukul 19:00 WIB 💚,0
32,Finally!! Erigo New Varsity Jacket is out now!Available at @Tokopedia 💚,4
33,Waktunya Indonesia Belanja Spesial Ramadan!Kunjungi Erigo Official di @tokopedia dan Nikmati Discount Up To 70% di Tokopedia WIB Spesial Ramadhan💚,0
34,Akhirnya yang ditunggu-tunggu🔥 tiba! Erigo Varsity Jacket is out now!Exclusive release di @tokopedia 💚,4
35,Start from imagination then make it happen.Proudly present our official collaboration with @disneyindonesia.Out soon.April 25th 2021#YourMagicalImagination #DisneyErigo#DisneyIndonesia,0
36,Waktunya pasang alarm kalian!Besok Erigo Varsity Jacket bakal rilis Eksklusif di @tokopedia jam 08:00 WIB 💚,0
37,Waktunya pantengin Erigo Official di @tokopedia Nikmati Discount up to 70% di Tokopedia WIB Spesial Ramadan💚,0
38,1 Hari lagi!!🔥Erigo Varsity Jacket Exclusive Release di @tokopedia Waktunya pasang alarm kalian!,0
39,Warna hitam memang gak pernah salah🖤selalu pas buat di mix and match dengan outfit apapun.Sambil cari referensi mix and match outfit Erigo di @tokopedia Nikmati Discount Up to 70% Erigo Official di Tokopedia WIB Spesial Ramadan💚,0
40,Another day another coach jacket😎Available at @shopee_id & @tokopedia,4
41,Who says your imagination is wishful thinking? You will only need a touch of magic to make it happen.April 25th 2021.#yourmagicalimagination #DisneyErigo #DisneyIndonesia@disneyindonesia,0
42,Menjelang waktu berbuka puasa waktunya ngabuburit mantengin Erigo Official di @tokopedia karena ada Discount Waktu Indonesia Belanja Spesial Ramadan!💚🥳,0
43,Gimana puasa hari ini? aman kan??Sabaarr bentar lagi buka puasa😜. Sambil menunggu jam buka puasa mendingan pantengin artikel yang mau kalian checkout nanti!,0
44,Guess what?🔥,3
45,Stay chill and comfy with Erigo T-shirt Series🖤,3
46,Selamat pagi🍃biar semangat pagi gini enaknya liatin yang seger-seger di mata nih,0
47,Ehm..🤭,7
48,Keep warm and comfy with Erigo Coach Jacket Series💚,3
49,Refresh our outfits with Erigo’s New Collection🍃💚,3
50,New Sweatshirt Series is out now!!waktunya merapat link di bio🔥,4
51,Waktunya pasang alarm kalian! New Sweatshirt Series bakalan release jam 12 siang nanti🔥,0
52,Turn on notification!kita eksekusi besok jam 12 siang🔥,0
53,Coming Soon🔥,15
54,Kalo yang ini gimana? eksekusi kapan?🤭,2
55,Liat di postingan tadi ternyata banyak yang salfok sama sweatshirt yang satu ini🤔btw kalo admin rilisin besok pada setuju gak nih?,0
56,Gimana? udah di checkout belum nih?Mumpung uda restock jangan sampai kehabisan size lagiyukk langsung sikatt🔥😎,0
57,Akhirnya yang ditunggu-tunggu restock juga! siapa nih yang dari kemarin nungguin restock Sweatshirt Pocket Oaklee Black yuk waktunya merapat!!🔥😎,0
58,Start the new week with a comfy outfit💙,3
59,Prepare your outfits for the new week💚💛,3
60,Waktunya cari yang nyaman untuk berkegiatan sehari-hari💙,0
61,Selamat berakhir pekan!tetap keren dan nyaman dengan Erigo Sweatshirt Stripe Series💙,0
62,Biar gak gerah siang-siang gini emang paling enak pakai T-Shirt Series dari Erigo nih. Btw gimana temen-temen? masih kuat kan puasanya? 🥰,0
63,Pagi-pagi banyak banget yang nge dm nanyain GiveawayGiveaway Hari ini libur dulu ya🙏🏻 besok kita lanjut lagi🔥,0
64,Ini dia salah satu T-Shirt yang paling Best Seller🥳Yuk kunjungi Erigo Official di @tokopedia dan nikmati Discount up to 70%!🥳,0
65,Happy weekend!Ekspresikan akhir pekan kalian dengan colorful outfit💚💛,0
66,Ada yang manis tapi bukan ice creamternyata Erigo T-Shirt Save Cream😋Btw langsung cek Erigo Official di @tokopedia karena ada Discount up to 70% WIB Ramadan langsung aja klik link di bio!,0
67,Feelin’ the weekend vibes🍃Btw siang-siang gini emang paling enak chill sambil ngeliatin yang seger-seger nih😍💚,0
68,Keep Warm with Erigo New Sweatshirt Series💙now available at @shopee_id & @tokopedia,4
69,Perfect combination🖤❤️btw masih banyak warna-warna menarik lainnya kalian bisa cek Erigo Official Shop di @shopee_id yuk klik link di bio!,0
70,Ini dia salah satu Sweatshirt Stripe terbaru yang bisa bikin kalian tetap nyaman dan hangat💙Tersedia juga warna-warna lainnya langsung aja cek Erigo Official Shop di @shopee_id 🥳,0
71,Waktunya Indonesia Belanja Spesial Ramadhan! 🥳Kepoin Erigo Official di @tokopedia dan nikmati Discount up to 70% !💚,0
72,Weekend almost here!🥳waktunya siapin outfit weekend kalian nih. Langsung aja klik link di bio untuk mencari referensi weekend outfit kalian!,0
73,Jadi gimana? udah checkout sweatshirt yang warna apa nih?🤔,0
74,The wait is over🔥 Erigo Sweatshirt Stripe Series have been released!!Available at @shopee_id & @tokopedia,4
75,New Sweatshirt Stripe Series is out now!🔥available at @shopee_id & @tokopedia grab yours now!,4
76,Nikmati Discount up to 70% Erigo Official WIB Ramadan di @tokopedia 💚🥳Grab yours now!,0
77,Enaknya kita eksekusi kapan nih?🤔,2
78,New Sweatshirt Pocket Ivy Maroon now available at @tokopedia 💚Grab yours now!,4
79,New Sweatshirt Pocket Series udah tersedia di @shopee_id 🔥Gimana? udah mantauin baju baru mana yang mau di checkout? 😋,0
80,Awal puasa gini kalian team produktif atau rebahan seharian nih?🙋🏻btw sambil rebahan paling seru ngincer baju baru buat Ramadhan nanti nih🥰,0
81,Selamat menunaikan ibadah puasa bagi teman-teman yang menjalankan🙏🏻Btw udah pada cek instastory hari ini belum? yang udah pada ikutan coba sarannya kira-kira game nya kurang susah gak nih?😅,0
82,Ngomong-ngomong besok udah mulai puasa nih memasuki bulan Ramadhan enaknya adain apa ya? 🤔,0
83,New Sweatshirt Pocket Series is out now!!Available at @shopee_id & @tokopedia Grab it yours🔥,4
84,Waktunya siap-siap nih! New Sweatshirt Pocket Series bakal rilis jam 12 siang nanti🔥Jangan lupa pasang alarm kalian!,0
85,Weekend hampir berakhir waktunya persiapkan diri mengawali minggu yang baru dengan outfit baru nih💙,0
86,Feelin' the weekend vibes with Erigo T-Shirt Series🌈☀️,3
87,Mau memasuki bulan ramadhan pasti kalian butuh outfit yang adem dan santai buat nemenin ibadah puasa kalian. Erigo T-Shirt Series bisa jadi referensi outfit kalian nanti nih🍃Klik link di bio yuk!,0
88,Pullover two tone yang satu ini bisa jadi referensi outfit malam minggu kalian nih🍃Klik link di bio ya!,0
89,Selamat berakhir pekan!🥳Sore-sore di akhir pekan emang paling enak duduk santai depan halaman rumah sambil pakai Erigo T-Shirt Series nih🍃,0
90,Black and Gray is the perfect combination🖤,0
91,Waktunya rebahan sambil mantengin artikel mana yang mau di checkout di @shopee_id nih! 🥳,0
92,Ngomong-ngomong soal weekend kalian team weekend produktif atau weekend rebahan sambil mantau baju baru buat lebaran nih?😝,0
93,Hari yang cerah untuk menyambut weekend tiba sama cerahnya dengan T-Shirt Series yang satu ini🍃btw pantengin terus Erigo Official di @tokopedia karena bakalan ada Kejar Diskon dan promo menarik lainnya🥳,0
94,Blue or Khaki? 🤔,3
95,Good vibes with a New Pullover Series🍃Sambil menunggu akhir pekan tiba enaknya scrolling Pullover seri terbaru ini di @tokopedia Langsung klik link di bio yuk!,0
96,Ini dia pullover yang bisa jadi referensi Sporty Look buat weekend kalian nanti💙🍃,0
97,Katanya sih cowo kalo pake baju warna hitam kegantengan nya nambah. Mau tanya nih ke kaum hawa apa bener?🤔,0
98,Sore-sore gini emang paling nyaman pakai T-Shirt Series dari Erigo🍃btw gak cuma warna navy aja tapi masih banyak pilihan warna lainnya!😍 Langsung klik link di bio yuk!,0
99,Simple outfit to start the day😎,3
100,Mau memasuki bulan puasa waktunya rebahan sambil ngicer baju baru di @tokopedia nih😜,0
101,Sore-sore liatin 2 Pullover di atas ini jadi pengen ngajakin pacar olahraga bareng pakai Pullover terbaru dari Erigo nih😅,0
102,Summer is coming! prepare your outfits with Erigo’s Collection💙,3
103,Masih vibes tanggal muda🥳 paling enak scrolling Erigo Official di @tokopedia sambil liat produk yang seger-seger seperti sweatshirt yang satu ini💚,0
104,Terima kasih atas partisipasi teman-teman di 4.4 Mega Shopping Day!Tunggu paket kalian sampai di rumah ya!🥳💙,0
105,Back in stock!🥳Sweatshirt College Maroon udah restock lagi. Mana nih yang dari kemarin nanyain restock Sweatshirt Best Seller ini di 4.4 Mega Shopping Day?!🔥🥳,0
106,Pasang alarm kalian! waktunya nonton #44MegaShoppingDay Tv Show malam ini!Minggu 4 April 2021 pukul 19.00 WIBBakal ada promo menarik dari Erigo💙🥳Stay Tuned!!🥳,0
107,Waktunya Belanja!!🥳Bertemu lagi di tanggal kembar yuk checkout produk Erigo Discount up to 70% 🔥,0
108,Waktunya 4.4 Mega Shopping Day!🥳Discount up to 70% All Items yuk checkout keranjang shopee💙🥳,0
109,Dalam hitungan jam udah pergantian hari menuju 4.4 Mega Shopping Day nih! waktunya belanja Erigo di @shopee_id 🔥Yuk masukin artikel yang mau kalian checkout ke keranjang shopee dulu🥳,0
110,9 Jam lagi menuju tanggal kembar!!🥳Terpantau dari Heligo Truck Ekspedisi udah siap buat mengantarkan paket-paket kalian di 4.4 nanti nih. Waktunya begadang masukin produk Erigo ke keranjang shopee sambil menunggu 4.4 Mega Shopping Day tiba!😝🔥,0
111,Waktunya masukin produk Erigo ke keranjang shopee kalian buat di checkout 4.4 Mega Shopping Day besok!🥳,0
112,Mendekati tanggal kembar kira-kira apa nih yang mau kalian checkout nanti?🤔,0
113,Are you ready for 4.4 Mega Shopping Day?🔥,3
114,Payday time!!waktunya checkout produk Erigo nih🥳,0
115,Ini dia salah satu Sweatshirt yang paling best seller. Enaknya restock lagi buat di 4.4 nanti gak ya?🤔,0
116,Hello April!🥳kalau udah memasuki bulan ke-4 gini pasti keinget sama tanggal kembar waktunya siap-siap buat Mega Shopping Day nih!,0
117,Buat April kalian tetap hangat dengan Erigo Sweatshirt Series💚,0
118,Welcoming April with Coach Jacket Nagasaki Garage Black🥳🖤,3
119,Memasuki pergantian bulan. Udah ngincer produk apa aja nih?🥳,0
120,Payday time!!🥳Waktunya pakai outfit baru untuk mengawali bulan yang baru😎,0
121,Gimana? udah dapet pilihan coach jacket mana yang cocok buat nemenin riding kalian?😎,0
122,Coach Jacket emang pas banget buat riding. Walaupun jok belakang kosong😝 tapi style saat riding harus tetep keren nih apalagi pakai coach jacket yang satu ini💙,0
123,Ngomong-ngomong tentang Coach Jacket Ride Team Black disini ada yang hobi banget riding gak sih?,0
124,Terpantau gajian udah makin deket nih udah ngincer artikel apa aja buat di Checkout pas gajian nanti?🤭,0
125,Bertemu lagi di hari senin😝walau hari senin harus tetap semangat nih menyambut tanggal muda,0
126,Have a good day with Erigo Coach Jacket Good Day Grey😎,3
127,Keep it simple with navy color💙,3
128,Happy Sunday!!btw apa nih rencana kalian di akhir pekan? coba sharing di kolom komentar😝,0
129,Kalau siang gini paling enak liatin yang seger-seger bikin adem di mata nih😍💙,0
130,Malam minggu waktunya keluar sama yang baru nih bukan pacar tapi Coach Jacket Series terbaru😝💙,0
131,Masih setia sama yang lama atau udah move on sama yang baru nih?😝,0
132,Happy Weekend!Kalo libur di tanggal tua gini kalian biasanya ngapain nih? kalo admin sih rebahan sambil scrolling produk erigo mana yang mau di checkout pas gajian nanti🤭,0
133,Introducing the New Pullover Series🥳,4
134,Kalian team one tone atau two tone ?🤔,0
135,Coach Jacket Two Tone Series is out now!!choose your fighter🔥,4
136,Yang ditunggu-tunggu akhirnya rilis juga!! Buat yang gak kenal tanggal tua waktunya checkout keranjang belanjaan kalian di @tokopedia & @shopee_id nihYuk klik link di bio! 🥳,0
137,Dengan bangga untuk pemuda-pemudi Indonesia @erigostore bisa membawa nama Brand Fashion asal Indonesia ke New York USA. Dan juga dalam rangka grand launching di @Tokopedia dan menyambut kedatangan 4.4 Mega Shopping Day @shopee_id kami bawa Local Brand kebanggaan negeri ini hingga ke mancanegara. Yuk guys dukung terus local brand Indonesia! #STOPASIANHATE,0
138,New Coach Jacket & Pullover Two Tone Series is out now!!🔥waktunya merapat klik link di bio!💙,4
139,Yang gak kenal tanggal tua waktunya pasang alarm kalian!! kita eksekusi malam ini🔥,0
140,1 More day!! 🔥Grand Launching Erigo di @tokopedia 💚,3
141,Dari kemarin dapet mentionan story hasil design coach jacket temen-temen gokil bangett pada kreatif dan gak kalah keren semua💙Ngomong-ngomong tentang design coach jacket yang ini enaknya rilis kapan nih?🤔,0
142,Erigo bakal hadir di @tokopedia mulai 25 Maret 2021 !!jangan lupa pakai kode voucher “ERIGOWIBMARET” untuk cashback 10rb Rupiah di GRAND LAUNCHING nanti berlaku untuk periode 25 Maret 2021 - 26 Maret 2021 Catat tanggalnya ya!!🥳💚💙,0
143,New Pullover Series is Coming Soon💙,4
144,Who’s similar with this color? 💚💙,3
145,Keep it simple with black🖤,3
146,Coba admin pengen tau enaknya rilisin apalagi ya?🤔,0
147,Feelin' the weekend vibes🍃😎,0
148,Kalau malam minggu gini enaknya scrolling Erigo Official Shop di @shopee_id nih🥳,0
149,Selain rebahan enaknya mengisi waktu weekend dengan aktivitas apa ya? 🤔,0
150,Memasuki weekend waktunya chill santai sambil scrolling Erigo Official Shop di shopee nih😍,0
151,Friday mood for mustard color🧡,3
152,Weekend almost here! menunggu weekend tiba waktunya siapin weekend outfit kalian nih sambil scrolling Erigo Official Shop di @shopee_id 🥳,0
153,Sambil menunggu weekend tiba kasih yang seger-seger di mata dulu😍🧡,0
154,Enaknya restock warna apa lagi nih?🤭,2
155,Kalau mid week gini biar semangat menunggu weekend tiba harus pakai outfit yang seger di mata dan adem dipakai nih🤭💛,0
156,Stay comfy with T-Shirt Stripe Series❤️btw ada yang salah fokus sama lukisan di belakang ini?🤭😍,3
157,Wearing the warmth of the sun in a bright T-shirt Series💛,0
158,Paling bisa banget bikin nyaman💙,0
159,Bertemu lagi di hari senin! waktunya kembali produktif nih buat senin kalian senyaman mungkin dengan Erigo T-Shirt Series🧡,0
160,Jadi mau pakai coach jacket yang mana nih buat outfit besok? 🤭,0
161,Bangun tidur langsung kepikiran nih kalau besok udah senin hayo ngaku siapa yang begitu😝btw ada yang tau gak kenapa jarak hari minggu ke senin jauh lebih cepat daripada senin ke minggu?😅,0
162,Coach series terbaru udah rilis🔥Kalau malam minggu gini sambil rebahan menikmati kejombloan di akhir pekan kepoin Erigo Official Shop di shopee seru nih🤭,0
163,Selamat Berakhir Pekan!btw kalau akhir pekan gini enaknya ngapain ya?🤔,0
164,Ada yang menghangatkan tapi bukan sinar matahari😋,0
165,Have a good day with Good Day Jacket from Erigo!🥳,3
166,Keep warm and comfy with Erigo Coach Jacket Series💙🇺🇸,3
167,Happy Long Weekend!Tetap nyaman dan hangat di cuaca dingin dengan Erigo Coach Jacket Series💙,0
168,Hello from New York🇺🇸@naufalabshar is wearing Coach Jacket Mamoru Khaki💙,4
169,Finally🥳The wait is over! Erigo New Coach Jacket Series is out now!! Available at @shopee_id,4
170,Siap buat eksekusi besok?? siapkan amunisi🔥pasang alarm kalian jam 12 siang!,0
171,Intip dikit🤭,0
172,Coming Soon!! 🇺🇸@erigostore x @naufalabshar,15
173,“The only ones who decide and limit ourselves to go forward are ourselves”@naufalabshar 💯,0
174,Nama Naufal Abshar terkenal hingga dunia seni Internasional. Karyanya tak hanya membawa Naufal bersinar. Namun ia mampu mengharumkan dunia seni bangsa🇮🇩Kira-kira apa yang akan dibuat @naufalabshar di kolaborasi kali ini?  #ErigoxNaufalAbshar,0
175,Naufal Abshar seorang seniman muda Indonesia yang sudah mendunia dengan karya yang luar biasa. Seniman muda ini berhasil memenangkan beberapa penghargaan dan juga terkenal dengan karya seninya yang khas “HAHA” salah satunya berada di cover album kunto aji yang berjudul “Mantra Mantra”Kira-kira bakalan ada apa di kolaborasi Erigo x @naufalabshar ?🇺🇸🤔#ErigoxNaufalAbshar,0
176,Erigo akan berkolaborasi dengan seniman muda asal Indonesia yaitu @naufalabshar yang sedang mengikuti artist residency dan pameran seni di kota New York.Kira-kira akan ada apa di kolaborasi kali ini?#ErigoxNaufalAbshar,0
177,Coming Soon!! 🇺🇸Kira-kira siapa nih yang bakal berkolaborasi dengan kita?ada yang bisa tebak?🤫,0
178,Feel comfortable in black🖤,6
179,Momen akhir pekan memang pas banget untuk berkumpul dan beristirahat bareng teman maupun keluarga. Selamat berakhir pekan💙,0
180,Selamat berakhir pekan!waktunya rebahan mengumpulkan energi sambil scrolling Erigo Official Shop di shopee nih!💙,0
181,Weekend gini paling enak santai sambil refresh mata liat ijo-ijo yang bikin seger💚,0
182,Nanti malam minggu nih🥳btw mau tanya dong buat kalian yang masih sendiri. Kalian lebih suka dipanggil jomblo atau single sih?🤭,0
183,Happy weekend!jadi apa planning kalian di hari sabtu ini?😝,9
184,TGIF✨Akhirnya bertemu lagi di akhir pekan! waktunya rebahan beristirahat sambil scrolling Erigo Official Shop di shopee nih🥳,0
185,Berjalan menuju weekend udah siapin planning apa nih? kalo admin si pengen keliling naik Heli🤭,0
186,Tanggal muda hawanya masih sejuk aja nih sama rasanya kalau lagi mandangin coach jacket yang satu ini😍,0
187,Masih di tanggal muda yuk merapat ke Erigo Official Shop di shopeeMumpung masih banyak discount menarik nih🔥,0
188,Udah checkout sukajan warna apa nih di 3.3 Fashion Sale kemarin?,0
189,Udah siap menyambut weekend dan menyambut pesanan kalian sampai di rumahh??!! 🥳,0
190,Tanggal yang bagus buat checkout keranjang shopee nih! yuk merapat ke Erigo Official Shop di @shopee_id Discount up to 70% 🥳,0
191,Yang ditunggu-tunggu akhirnya tiba!! waktunya 3.3 Fashion Sale!!🥳Udah checkout keranjang shopee kalian belum nih??,0
192,Akhirnya bertemu kembali di tanggal kembar!!🥳Waktunya checkout keranjang shopee kalian nih karena di 3.3 Fashion Sale ini Erigo Official Shop Discount up to 70%🔥,0
193,Yukk siap-siap checkout keranjang shopee kalian!!3.3 Fashion Sale udah hitungan jam lagi nih!🥳,0
194,8 jam lagi udah tanggal kembar nih. Amanin saldo yuk siap-siap berburu diskon Erigo Official Shop di shopee🥳,0
195,H-1 menuju 3.3 Fashion Sale!!🥳uda dimasukin keranjang shopee belum nih sukajan yang kalian mau?,0
196,Mendekati tanggal kembar udah siapin artikel yang mau kalian checkout di 3.3 Fashion Sale nanti? 😜,0
197,Welcome March!✨btw coba tag temen kalian yang ulang tahun di bulan maret dong!🥳,0
198,Payday Time!!🥳Udah checkout apa aja nih di keranjang shopee kalian?,0
199,Weekend di tanggal muda waktunya rebahan sambil scrolling Erigo Official Shop di shopee nih🥳,0
200,Payday time!!Udah checkout keranjang shopee kalian belum nih?😎,0
201,Happy Weekend!stay chill and comfy with Erigo T-Shirt Series💙,3
202,Payday time!! waktunya checkout keranjang shopee kalian nih🥳,0
203,Once a year Sukajan is out now!!💙,4
204,Mendekati tanggal kembar udah siap buat checkout keranjang shopee kalian di 3.3 nanti?🔥,0
205,Navy or black? 😜,3
206,GIVEAWAY ALERT! 🥳Karena di dm rame nanyain giveaway oke admin bakalan bagi Sukajan Terbaru ini.Cukup komentar SUKAJAN seperti di slide kedua jangan sampai terputusJangan lupa komentar sebanyak-banyaknya!!Pemenang bakalan kita umumkan tanggal 3 Maret 2021. Good Luck! 🥳#33ShopeeFashionSeller,0
207,Udah mendekati tanggal muda dan tanggal kembar udah siap buat checkout keranjang shopee nih😝,0
208,Choose your fighter🔥 menurut kalian Sukajan paling cocok dipake buat apa nih?? Comment dong ⬇️,0
209,Yang ditunggu-tunggu akhirnya rilis nih🔥Sekarang waktunya checkout di Shopee!,0
210,The wait is over !! Sukajan Silver Have been released on Shopee🥳Grab yours now!,4
211,Amanin saldo kita eksekusi malam ini🔥Jangan lupa pasang alarm!,0
212,Sekalian rilisin juga gak nih?coba yang setuju musyawarah dulu di kolom komentar sampai mufakat😝,0
213,Jadi ini yang lagi rame di dm? mau di eksekusi kapan nih? 🤭,2
214,Coba bayangin foto di atas ini serial drama kira-kira judul yang cocok apa ya buat foto ini?😅komentar di bawah dong!,0
215,Nyerbu T-Shirt Series seru nih daripada nyerbu pelakorcanda nyerbu😅,0
216,Ready to hit Tuesday with these comfy T-Shirt 💙Click link in bio!,3
217,Hitam atau putih emang pilihan yang paling netral dan simple buat di kombinasikan dengan warna apapun. Kalian team hitam atau putih nih?,0
218,Color up your monday with Erigo T-shirt Series🌈,3
219,Coba sharing mood kalian hari ini dong.Ada yang lagi sumringah karena gaji udah cair atau pada sedih karena dompet udah tipis?😅,0
220,Stay chill and comfy with Erigo T-Shirt Series💙,3
221,Sabar bentar lagi tanggal muda...Udah masukin keranjang shopee belum artikel yang mau kalian pinang? 😜,0
222,Happy Weekend!!Hari minggu waktunya bersantai-santai pakai T-Shirt Series dari Erigo nih. Jadi yang mana warna favorite kalian?😍,0
223,Malam minggu gini emang paling enak rebahan sambil scroll Erigo Official Shop di @shopee_id nih🔥Have a great weekend everyone!!,0
224,Kalian team T-shirt warna apa nih?🤔,0
225,Tadi malam Jakarta dan sekitarnya hujan deras nih sampai mengakibatkan banjir dimana-mana. Stay Safe Everyone!💙Kalo temen-temen di daerah lain gimana kondisinya?,0
226,Casually fun and relaxing look to end the day!💙,0
227,Simple vibe to spend your day🖤🤍,3
228,Apapun kegiatannya T-Shirt selalu jadi pilihan untuk menemani kegiatan kalian kan? hayo ngaku😋Selain simple T-Shirt selalu nyaman digunakan di segala situasi dan kondisi. Jadi kalian team T-Shirt yang mana nih???,0
229,Ini dia salah satu Sukajan terbaru tahun ini🔥dengan ilustrasi gambar burung Phoenix yang melambangkan pembaruan dan kebangkitan hingga manusia luar biasa.,0
230,Navy blue is the new black💙,4
231,Baju warna hitam emang terbukti bisa menambah kegantengan sebelum lagu aduh mamae tercipta.Ada yang setuju gak? 🤭,0
232,Selamat hari kamis buat kalian si cewek manis!!ngomong-ngomong tentang pantun coba kalian komentar di bawah buat pantun tentang hari kamis. Yang paling keren admin kasih hadiah🤭,0
